potentialtype,probability,leadsource,modifiedtime_day_of_week,modifiedtime_date_no,modifiedtime_year_no,modifiedtime_month_no,modifiedtime_business_day,modifiedtime_AM_PM,modifiedtime_quarter_year,createdtime_day_of_week,createdtime_date_no,createdtime_year_no,createdtime_month_no,createdtime_business_day,createdtime_week_no_year,createdtime_day_of_year,createdtime_AM_PM,createdtime_quarter_year,gad_offline_pushdateisEmpty
7,0.6748971193415638,12,0.13991769547325103,27,5,9,0.9794238683127572,0.1522633744855967,0.24279835390946503,0.23045267489711935,14,0.26337448559670784,0.04938271604938271,0.9876543209876543,3,79,0.8148148148148148,0.15637860082304528,0.9917695473251029
7,0.6748971193415638,12,0.20987654320987653,21,5,5,0.9794238683127572,0.1522633744855967,0.18930041152263374,0.23045267489711935,15,0.26337448559670784,0.04938271604938271,0.9876543209876543,29,86,0.18518518518518517,0.15637860082304528,0.9917695473251029
7,0.6748971193415638,12,0.20987654320987653,21,5,5,0.9794238683127572,0.1522633744855967,0.18930041152263374,0.23045267489711935,15,0.26337448559670784,0.04938271604938271,0.9876543209876543,29,86,0.18518518518518517,0.15637860082304528,0.9917695473251029
7,0.6748971193415638,12,0.26337448559670784,30,4,9,0.9794238683127572,0.8477366255144033,0.24279835390946503,0.23045267489711935,15,0.26337448559670784,0.04938271604938271,0.9876543209876543,29,86,0.18518518518518517,0.15637860082304528,0.9917695473251029
7,0.6748971193415638,12,0.20987654320987653,21,5,5,0.9794238683127572,0.1522633744855967,0.18930041152263374,0.23045267489711935,15,0.26337448559670784,0.04938271604938271,0.9876543209876543,29,86,0.18518518518518517,0.15637860082304528,0.9917695473251029
7,0.32510288065843623,12,0.26337448559670784,30,4,9,0.9794238683127572,0.8477366255144033,0.24279835390946503,0.24691358024691357,20,0.26337448559670784,0.04938271604938271,0.9876543209876543,29,87,0.8148148148148148,0.15637860082304528,0.9917695473251029
7,0.6748971193415638,12,0.21810699588477367,27,5,7,0.9794238683127572,0.8477366255144033,0.24279835390946503,0.24691358024691357,20,0.26337448559670784,0.04938271604938271,0.9876543209876543,29,87,0.8148148148148148,0.15637860082304528,0.9917695473251029
7,0.32510288065843623,12,0.26337448559670784,30,4,9,0.9794238683127572,0.8477366255144033,0.24279835390946503,0.24691358024691357,20,0.26337448559670784,0.04938271604938271,0.9876543209876543,29,87,0.8148148148148148,0.15637860082304528,0.9917695473251029
7,0.32510288065843623,12,0.26337448559670784,30,4,9,0.9794238683127572,0.8477366255144033,0.24279835390946503,0.24691358024691357,20,0.26337448559670784,0.04938271604938271,0.9876543209876543,29,87,0.8148148148148148,0.15637860082304528,0.9917695473251029
7,0.6748971193415638,12,0.13991769547325103,14,5,9,0.9794238683127572,0.8477366255144033,0.18930041152263374,0.14814814814814814,7,0.26337448559670784,0.024691358024691357,0.9876543209876543,1,92,0.8148148148148148,0.15637860082304528,0.9917695473251029
7,0.6748971193415638,8,0.20987654320987653,29,5,9,0.9794238683127572,0.8477366255144033,0.24279835390946503,0.23045267489711935,29,0.26337448559670784,0.024691358024691357,0.9876543209876543,2,114,0.8148148148148148,0.18930041152263374,0.9917695473251029
7,0.6748971193415638,8,0.14814814814814814,2,5,9,0.9794238683127572,0.8477366255144033,0.24279835390946503,0.20164609053497942,11,0.26337448559670784,0.024691358024691357,0.9876543209876543,22,119,0.8148148148148148,0.18930041152263374,0.9917695473251029
7,0.6748971193415638,12,0.14814814814814814,8,5,7,0.9794238683127572,0.8477366255144033,0.24279835390946503,0.20164609053497942,14,0.26337448559670784,0.10699588477366255,0.9876543209876543,18,140,0.8148148148148148,0.18930041152263374,0.9917695473251029
7,0.6748971193415638,12,0.14814814814814814,22,5,6,0.9794238683127572,0.8477366255144033,0.24279835390946503,0.20164609053497942,23,0.26337448559670784,0.06172839506172839,0.9876543209876543,25,161,0.8148148148148148,0.18930041152263374,0.9917695473251029
7,0.6748971193415638,12,0.14814814814814814,22,5,6,0.9794238683127572,0.8477366255144033,0.24279835390946503,0.20164609053497942,23,0.26337448559670784,0.06172839506172839,0.9876543209876543,25,161,0.8148148148148148,0.18930041152263374,0.9917695473251029
7,0.6748971193415638,12,0.14814814814814814,19,4,12,0.9794238683127572,0.8477366255144033,0.2674897119341564,0.14814814814814814,19,0.26337448559670784,0.06172839506172839,0.9876543209876543,25,162,0.8148148148148148,0.18930041152263374,0.9917695473251029
7,0.6748971193415638,12,0.13991769547325103,6,5,6,0.9794238683127572,0.8477366255144033,0.24279835390946503,0.14814814814814814,19,0.26337448559670784,0.06172839506172839,0.9876543209876543,25,162,0.8148148148148148,0.18930041152263374,0.9917695473251029
7,0.6748971193415638,6,0.26337448559670784,30,4,9,0.9794238683127572,0.8477366255144033,0.24279835390946503,0.20164609053497942,29,0.26337448559670784,0.06172839506172839,0.9876543209876543,31,175,0.8148148148148148,0.18930041152263374,0.9917695473251029
7,0.6748971193415638,6,0.26337448559670784,30,4,9,0.9794238683127572,0.8477366255144033,0.24279835390946503,0.20164609053497942,29,0.26337448559670784,0.06172839506172839,0.9876543209876543,31,175,0.8148148148148148,0.18930041152263374,0.9917695473251029
7,0.6748971193415638,6,0.26337448559670784,30,4,9,0.9794238683127572,0.8477366255144033,0.24279835390946503,0.20164609053497942,29,0.26337448559670784,0.06172839506172839,0.9876543209876543,31,175,0.8148148148148148,0.18930041152263374,0.9917695473251029
7,0.6748971193415638,12,0.26337448559670784,30,4,9,0.9794238683127572,0.8477366255144033,0.24279835390946503,0.20164609053497942,29,0.26337448559670784,0.06172839506172839,0.9876543209876543,31,175,0.8148148148148148,0.18930041152263374,0.9917695473251029
7,0.6748971193415638,13,0.26337448559670784,30,4,9,0.9794238683127572,0.8477366255144033,0.24279835390946503,0.20164609053497942,29,0.26337448559670784,0.06172839506172839,0.9876543209876543,31,175,0.8148148148148148,0.18930041152263374,0.9917695473251029
7,0.6748971193415638,12,0.26337448559670784,30,4,9,0.9794238683127572,0.8477366255144033,0.24279835390946503,0.20164609053497942,29,0.26337448559670784,0.06172839506172839,0.9876543209876543,31,175,0.8148148148148148,0.18930041152263374,0.9917695473251029
6,0.6748971193415638,12,0.26337448559670784,30,4,9,0.9794238683127572,0.8477366255144033,0.24279835390946503,0.20164609053497942,29,0.26337448559670784,0.06172839506172839,0.9876543209876543,31,175,0.8148148148148148,0.18930041152263374,0.9917695473251029
6,0.6748971193415638,4,0.13991769547325103,25,5,6,0.9794238683127572,0.8477366255144033,0.24279835390946503,0.14814814814814814,6,0.26337448559670784,0.06172839506172839,0.9876543209876543,31,176,0.8148148148148148,0.18930041152263374,0.9917695473251029
7,0.6748971193415638,12,0.26337448559670784,14,5,11,0.9794238683127572,0.8477366255144033,0.3004115226337449,0.14814814814814814,21,0.26337448559670784,0.012345679012345678,0.9876543209876543,6,204,0.8148148148148148,0.32098765432098764,0.9917695473251029
6,0.6748971193415638,13,0.21810699588477367,23,5,11,0.9794238683127572,0.8477366255144033,0.3004115226337449,0.24691358024691357,27,0.26337448559670784,0.17695473251028807,0.9876543209876543,40,227,0.8148148148148148,0.32098765432098764,0.9917695473251029
6,0.6748971193415638,13,0.20987654320987653,20,6,11,0.9794238683127572,0.8477366255144033,0.3004115226337449,0.24691358024691357,27,0.26337448559670784,0.17695473251028807,0.9876543209876543,40,227,0.8148148148148148,0.32098765432098764,0.9917695473251029
6,0.6748971193415638,13,0.21810699588477367,23,5,11,0.9794238683127572,0.8477366255144033,0.3004115226337449,0.24691358024691357,27,0.26337448559670784,0.17695473251028807,0.9876543209876543,40,227,0.8148148148148148,0.32098765432098764,0.9917695473251029
6,0.6748971193415638,13,0.21810699588477367,23,5,11,0.9794238683127572,0.8477366255144033,0.3004115226337449,0.24691358024691357,27,0.26337448559670784,0.17695473251028807,0.9876543209876543,40,227,0.8148148148148148,0.32098765432098764,0.9917695473251029
6,0.6748971193415638,13,0.21810699588477367,23,5,11,0.9794238683127572,0.8477366255144033,0.3004115226337449,0.24691358024691357,27,0.26337448559670784,0.17695473251028807,0.9876543209876543,40,227,0.8148148148148148,0.32098765432098764,0.9917695473251029
6,0.6748971193415638,13,0.21810699588477367,23,5,11,0.9794238683127572,0.8477366255144033,0.3004115226337449,0.24691358024691357,27,0.26337448559670784,0.17695473251028807,0.9876543209876543,40,227,0.8148148148148148,0.32098765432098764,0.9917695473251029
6,0.6748971193415638,13,0.21810699588477367,23,5,11,0.9794238683127572,0.8477366255144033,0.3004115226337449,0.24691358024691357,27,0.26337448559670784,0.17695473251028807,0.9876543209876543,40,227,0.8148148148148148,0.32098765432098764,0.9917695473251029
6,0.6748971193415638,13,0.21810699588477367,23,5,11,0.9794238683127572,0.8477366255144033,0.3004115226337449,0.24691358024691357,27,0.26337448559670784,0.17695473251028807,0.9876543209876543,40,227,0.8148148148148148,0.32098765432098764,0.9917695473251029
6,0.6748971193415638,13,0.21810699588477367,23,5,11,0.9794238683127572,0.8477366255144033,0.3004115226337449,0.24691358024691357,27,0.26337448559670784,0.17695473251028807,0.9876543209876543,40,227,0.8148148148148148,0.32098765432098764,0.9917695473251029
7,0.6748971193415638,13,0.21810699588477367,23,5,11,0.9794238683127572,0.8477366255144033,0.3004115226337449,0.24691358024691357,27,0.26337448559670784,0.17695473251028807,0.9876543209876543,40,227,0.8148148148148148,0.32098765432098764,0.9917695473251029
6,0.6748971193415638,13,0.21810699588477367,23,5,11,0.9794238683127572,0.8477366255144033,0.3004115226337449,0.24691358024691357,27,0.26337448559670784,0.17695473251028807,0.9876543209876543,40,227,0.8148148148148148,0.32098765432098764,0.9917695473251029
6,0.6748971193415638,13,0.21810699588477367,23,5,11,0.9794238683127572,0.8477366255144033,0.3004115226337449,0.24691358024691357,27,0.26337448559670784,0.17695473251028807,0.9876543209876543,40,227,0.8148148148148148,0.32098765432098764,0.9917695473251029
6,0.6748971193415638,13,0.21810699588477367,23,5,11,0.9794238683127572,0.8477366255144033,0.3004115226337449,0.24691358024691357,27,0.26337448559670784,0.17695473251028807,0.9876543209876543,40,227,0.8148148148148148,0.32098765432098764,0.9917695473251029
7,0.6748971193415638,12,0.21810699588477367,6,4,12,0.9794238683127572,0.8477366255144033,0.2674897119341564,0.20164609053497942,21,0.26337448559670784,0.13168724279835392,0.9876543209876543,23,266,0.18518518518518517,0.32098765432098764,0.9917695473251029
7,0.6748971193415638,12,0.14814814814814814,27,5,10,0.9794238683127572,0.1522633744855967,0.3004115226337449,0.20164609053497942,21,0.26337448559670784,0.13168724279835392,0.9876543209876543,23,266,0.18518518518518517,0.32098765432098764,0.9917695473251029
6,0.6748971193415638,12,0.21810699588477367,17,5,12,0.9794238683127572,0.1522633744855967,0.2674897119341564,0.24691358024691357,17,0.26337448559670784,0.2222222222222222,0.9876543209876543,36,311,0.18518518518518517,0.3333333333333333,0.9917695473251029
6,0.6748971193415638,12,0.26337448559670784,13,5,12,0.9794238683127572,0.8477366255144033,0.2674897119341564,0.16049382716049382,26,0.26337448559670784,0.2222222222222222,0.9876543209876543,36,312,0.8148148148148148,0.3333333333333333,0.9917695473251029
